Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season,Value
459,Jeremy Hill,NWE,RB,26,1,0,0,0,0,0,0,4,25,6.25,0,1,1,6,6.0,0,0,0,0,0.0,0.0,3.0,4.1,4.1,3.6,0.0,127,0.0,2018,Waiver
460,Jeremy Langford,ATL,RB,27,1,0,0,0,0,0,0,9,25,2.78,0,0,0,0,0.0,0,0,0,0,0.0,0.0,3.0,2.5,2.5,2.5,0.0,129,0.0,2018,Waiver
463,Shaun Wilson,TAM,RB,23,5,0,0,0,0,0,0,6,29,4.83,0,5,3,5,1.67,0,0,0,0,0.0,0.0,3.0,6.4,6.4,4.9,0.0,125,0.0,2018,Waiver
465,Nick Bellore,DET,RB,29,14,4,0,0,0,0,0,1,0,0.0,0,4,4,15,3.75,0,0,0,0,0.0,0.0,2.0,5.5,5.5,3.5,0.0,138,0.0,2018,Waiver
466,Travaris Cadet,CAR,RB,29,1,0,0,0,0,0,0,11,17,1.55,0,1,1,5,5.0,0,0,0,0,0.0,0.0,2.0,3.2,3.2,2.7,0.0,130,0.0,2018,Waiver
469,Derrick Coleman,ARI,RB,28,16,4,0,0,0,0,0,2,3,1.5,0,3,2,17,8.5,0,0,0,0,0.0,0.0,2.0,4.0,4.0,3.0,0.0,132,0.0,2018,Waiver
472,Justin Davis,LAR,RB,23,11,0,0,0,0,0,0,2,19,9.5,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2.0,1.9,1.9,1.9,0.0,134,0.0,2018,Waiver
474,David Fluellen,TEN,RB,26,7,0,0,0,0,0,0,4,16,4.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2.0,1.6,1.6,1.6,0.0,136,0.0,2018,Waiver
478,Darius Jackson,2TM,RB,25,4,0,0,0,0,0,0,6,16,2.67,0,1,0,0,0.0,0,0,0,0,0.0,0.0,2.0,1.6,1.6,1.6,0.0,137,0.0,2018,Waiver
481,C.J. Prosise,SEA,RB,24,5,0,0,0,0,0,0,1,-3,-3.0,0,3,3,22,7.33,0,0,0,0,0.0,0.0,2.0,4.9,4.9,3.4,0.0,133,0.0,2018,Waiver
483,Jonathan Stewart,NYG,RB,31,3,0,0,0,0,0,0,6,17,2.83,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2.0,1.7,1.7,1.7,0.0,135,0.0,2018,Waiver
485,De'Lance Turner,BAL,RB,23,4,0,0,0,0,0,0,1,4,4.0,0,2,2,17,8.5,0,0,0,0,0.0,0.0,2.0,4.1,4.1,3.1,0.0,131,0.0,2018,Waiver
487,Brandon Wilds,JAX,RB,25,3,0,0,0,0,0,0,6,15,2.5,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2.0,1.5,1.5,1.5,0.0,139,0.0,2018,Waiver
491,Ameer Abdullah,2TM,RB,25,10,0,0,0,0,0,0,1,1,1.0,0,4,3,28,9.33,0,1,1,0,0.0,0.0,1.0,3.9,4.9,2.4,0.0,145,0.0,2018,Waiver
493,Michael Burton,CHI,RB,26,8,1,0,0,0,0,0,0,0,0.0,0,1,1,6,6.0,0,0,0,0,0.0,0.0,1.0,1.6,1.6,1.1,0.0,148,0.0,2018,Waiver
495,Jamaal Charles,JAX,RB,32,2,0,0,0,0,0,0,6,7,1.17,0,3,2,7,3.5,0,0,0,0,0.0,0.0,1.0,3.4,3.4,2.4,0.0,140,0.0,2018,Waiver
505,Robert Kelley,WAS,RB,26,2,0,0,0,0,0,0,4,8,2.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,1.0,0.8,0.8,0.8,0.0,146,0.0,2018,Waiver
